Date,Name,Year,Letterboxd URI,Rating
2019-12-27,The Empire Strikes Back,1980,https://boxd.it/27Vw,5
2019-12-27,Return of the Jedi,1983,https://boxd.it/27Vm,4
2019-12-27,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,3.5
2019-12-27,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,3
2019-12-27,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,4
2020-02-10,Ford v Ferrari,2019,https://boxd.it/ce74,3.5
2020-04-09,Alien,1979,https://boxd.it/2awY,5
2020-04-09,Aliens,1986,https://boxd.it/29PA,4
2020-04-12,Predator,1987,https://boxd.it/2b84,4.5
2020-04-15,Joker,2019,https://boxd.it/h4cS,4
2020-04-15,Jojo Rabbit,2019,https://boxd.it/iEBG,4.5
2020-04-21,To Die For,2018,https://boxd.it/iKL8,0.5
2020-04-21,Recep Ivedik 6,2019,https://boxd.it/nahm,0.5
2020-04-21,Fırıncının Karısı,2019,https://boxd.it/nxmu,0.5
2020-04-22,Rocky V,1990,https://boxd.it/28SS,2.5
2020-04-22,Knight and Day,2010,https://boxd.it/17po,3
2020-04-22,(500) Days of Summer,2009,https://boxd.it/1EmM,4
2020-04-22,Hachi: A Dog's Tale,2009,https://boxd.it/1q4a,4
2020-04-22,Defiance,2008,https://boxd.it/1Pme,3.5
2020-04-22,The Bodyguard,1992,https://boxd.it/29Z6,2.5
2020-04-22,The Legend of Hercules,2014,https://boxd.it/5HlA,1
2020-04-22,Home Alone 2: Lost in New York,1992,https://boxd.it/29F6,3.5
2020-04-22,Lethal Weapon 3,1992,https://boxd.it/29dG,3.5
2020-04-22,Up,2009,https://boxd.it/1OEc,4
2020-04-22,For Love and Honor,2007,https://boxd.it/1qAA,3
2020-04-22,The Wild Soccer Bunch 5,2008,https://boxd.it/AZe,2.5
2020-04-22,White Angel,2007,https://boxd.it/1qBy,1
2020-04-22,Boyhood,2014,https://boxd.it/3178,3.5
2020-04-22,Groundhog Day,1993,https://boxd.it/2b3e,4.5
2020-04-22,Mrs. Doubtfire,1993,https://boxd.it/29Cw,3
2020-04-22,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,3.5
2020-04-22,Ice Age: Dawn of the Dinosaurs,2009,https://boxd.it/20iC,3.5
2020-04-22,"The Adventures of Priscilla, Queen of the Desert",1994,https://boxd.it/26mg,4
2020-04-22,Adventureland,2009,https://boxd.it/1JTQ,3.5
2020-04-22,Kutsal Damacana,2007,https://boxd.it/wTw,0.5
2020-04-22,Legends of the Fall,1994,https://boxd.it/24ho,3.5
2020-04-22,The Mask,1994,https://boxd.it/29rS,4
2020-04-22,The Lost Treasure of the Knights Templar III: The Mystery of the Snake Crown,2008,https://boxd.it/1KWQ,3.5
2020-04-22,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2020-04-22,The Hangover,2009,https://boxd.it/1GjK,4
2020-04-22,Blue Valentine,2010,https://boxd.it/MxG,4
2020-04-22,The Basketball Diaries,1995,https://boxd.it/1WaO,3.5
2020-04-22,Before Sunrise,1995,https://boxd.it/2bcU,4
